run	success	app_xt	app_R2	car_xt	car_R2	pick	deliv
f2_1_ctrl	0.7900	0.1680	0.8467	0.0521	0.9935	0.7051	0.6250
f2_2_B	0.9209	0.2140	0.9204	0.0617	0.9800	0.8574	0.6923
f2_3_D	0.9229	0.1274	0.9518	0.0778	0.9849	0.7598	0.8235
f2_5_C	0.9131	0.1191	0.9401	0.0797	0.9839	0.7969	0.8000
f2_14_D_lr707	0.9111	0.1262	0.9505	0.0645	0.9849	0.7344	0.7826
f2_16_D_seed1	0.9160	0.1170	0.9477	0.0697	0.9850	0.8594	0.6957
f3_base	0.9092	0.1549	0.9214	0.0735	0.9811	0.7383	0.6667
f3_K3	0.9053	0.1624	0.9177	0.0682	0.9848	0.9961	0.2000
f3_L0.6	0.9180	0.1592	0.9354	0.0477	0.9900	0.7656	0.9167
f3_L1.0	0.9258	0.1929	0.9141	0.0851	0.9785	0.8125	0.8000
f3_L1.5	0.9141	0.1391	0.9298	0.1003	0.9621	0.8203	0.8750
f3_L2.0	0.9004	0.2145	0.8799	0.0818	0.9699	0.8125	0.7826
f3_xtrack	0.9033	0.1262	0.9588	0.0476	0.9917	0.7969	0.2500
f3_K4	0.9043	0.1869	0.8967	0.0657	0.9896	0.8105	0.9333
f4_base	0.8975	0.2080	0.8930	0.0462	0.9932	1.0000	-
f4_pos_aim	0.9043	0.1974	0.8941	0.0567	0.9909	0.7988	0.4545
f4_pos_lat	0.9072	0.1526	0.9192	0.0677	0.9867	0.8555	0.6364
f4_xtrack	0.9023	0.1386	0.9513	0.0467	0.9926	0.8398	-
f4_ctrl	0.9102	0.3255	0.7935	0.0606	0.9874	0.9727	-
f4_seed	0.8877	0.2028	0.8911	0.0354	0.9961	0.9629	-
f4_L0.6	0.9043	0.1398	0.9296	0.0442	0.9951	0.9902	-
f4_L1.0	0.9346	0.1649	0.8445	0.0533	0.9918	0.5762	-
f4_L1.5	0.9316	0.1263	0.8821	0.0588	0.9873	0.7031	0.7200
